depth,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39,msa-40,msa-41,msa-42,msa-43,msa-46,msa-48,msa-49,msa-50
93.0,66.048,53.491,58.68975,44.534,21.496,67.539,63.0555,61.459,59.768,43.4565,94.49075,67.3805,70.61274999999999,62.649,43.1065,54.027,63.723224850913056,66.655,47.656
93.5,61.42,67.347,51.0055,51.664,29.82275,60.367,62.54375,55.3055,57.00525,45.462,89.9325,71.218,66.6935,58.5135,40.857,58.9665,62.2358281630864,66.30199999999999,50.96975
94.0,56.792,81.203,43.32125,58.794,38.1495,53.195,62.032,49.152,54.2425,47.4675,85.37425,75.0555,62.77425,54.378,38.6075,63.906,61.59541164284956,65.949,54.2835
95.0,56.24525,95.059,35.637,65.924,46.47625,46.023,60.3375,48.982,51.47975,49.473,80.816,78.893,58.855,50.2425,36.358,63.144,60.9549951226127,65.596,57.59725
96.0,55.6985,90.53725,33.38425,73.054,54.803,38.851,58.643,48.812,48.717,51.34375,76.25775,78.56,62.9085,46.107,44.46875,62.382,59.8781114005889,65.243,60.911
96.5,55.15175,86.0155,31.131500000000003,76.37775,54.63025,52.541,56.9485,48.642,53.88725,53.2145,71.6995,78.227,66.962,44.0495,52.5795,61.62,58.8012276785651,64.922,58.9225
97.0,54.605,81.49374999999999,28.87875,79.70150000000001,54.4575,66.231,55.254,48.472,59.0575,55.08525,67.14125,77.894,71.0155,41.992,60.69025,60.858,59.48655741702035,64.601,56.934
98.0,51.71925,76.972,26.626,83.02525,54.28475,79.921,55.002,50.5225,64.22775,56.956,62.583,77.561,75.069,39.9345,68.801,63.38425,60.1718871554756,64.28,54.9455
99.0,48.8335,75.47749999999999,34.48425,86.349,54.112,93.611,54.75,52.573,69.398,55.71075,60.88325,77.92425,71.5915,37.877,67.11275,65.9105,60.824617551816,63.959,52.957
99.5,45.94775,73.983,42.3425,94.84475,54.18225,95.388,54.498000000000005,54.6235,64.08324999999999,54.465500000000006,59.1835,78.2875,68.114,42.255750000000006,65.4245,68.43674999999999,61.4773479481564,72.04175000000001,53.553
100.0,43.062,72.4885,50.20075,103.3405,54.2525,97.165,54.246,56.674,58.7685,53.22025,57.48375,78.65075,64.6365,46.6345,63.73625,70.963,62.13907863393225,80.12450000000001,54.149
101.0,52.4425,70.994,58.059,111.83625,54.32275,98.942,53.61925,58.371,53.45375,51.975,55.784,79.014,61.159,51.01325,62.048,65.19149999999999,62.8008093197081,88.20725,54.745000000000005
102.0,61.823,72.8395,57.9665,120.332,54.393,100.719,52.9925,60.068,48.139,50.97625,53.13425,73.10625,72.04975,55.392,62.0735,59.42,60.112347714876805,96.29,55.341
102.5,71.2035,74.685,57.874,120.0515,55.537,85.47025,52.36575,61.765,53.438500000000005,49.9775,50.4845,67.1985,82.9405,69.083,62.099,53.6485,57.4238861100455,88.283,53.026
103.0,80.584,76.5305,57.7815,119.771,56.681,70.22149999999999,51.739,63.462,58.738,48.97875,47.83475,61.29075,93.83125,82.774,62.1245,47.877,57.4770525795508,80.27600000000001,50.711
