depth,MSA-8,MSA-10,MSA-12,MSA-14,MSA-16,MSA-20,MSA-30,MSA-32,MSA-36,MSA-38,MSA-39,MSA-40,MSA-41,MSA-42,MSA-43,MSA-46,MSA-48,MSA-49,MSA-50
60.5,3.362,31.9925,14.811499999999999,20.51975,11.791250000000002,2232.7715,20.27125,8.788,9.214500000000001,4.6205,11.697,18.3395,20.631999999999998,21.732999999999997,36.342,17.278,31.4886505813833,26.32675,16.12375
61.0,2.617,39.25475,15.021749999999999,26.0895,12.9845,4443.553,17.200499999999998,5.264,12.318999999999999,4.48975,13.675999999999998,16.20875,23.543499999999998,24.964,36.351,20.156,30.37010391058095,25.6415,17.4625
62.0,2.60175,46.517,15.232,31.65925,14.17775,6654.3345,14.12975,6.008,15.4235,4.359,15.655,14.078,26.455,28.195,36.36,22.3935,29.2515572397786,24.95625,18.80125
63.0,2.5865,42.286750000000005,17.099,37.229,15.371,8865.116,11.059,6.752000000000001,18.528,6.609500000000001,15.00975,11.207749999999999,25.689749999999997,31.426,33.3105,24.631,28.83046147385765,24.271,20.14
63.5,2.57125,38.0565,18.966,39.5245,17.7765,6662.807,11.541333333333332,7.496,20.38975,8.86,14.3645,8.337499999999999,24.9245,30.195249999999998,30.261,26.8685,28.4093657079367,24.457,22.907
64.0,2.556,33.82625,20.833,41.82,20.182,4460.498,12.023666666666665,8.24,22.2515,11.1105,13.719249999999999,5.46725,24.15925,28.9645,27.2115,29.106,29.013230664801853,24.643,25.674
65.0,3.67,29.596,22.7,44.1155,22.5875,2258.1889999999994,12.506,9.70275,24.11325,13.361,13.074,2.597,23.394,27.73375,24.162,29.339750000000002,29.617095621667,24.829,28.441
66.0,4.784,26.598,22.242,46.411,24.993,55.88,12.988333333333333,11.1655,25.975,13.5275,14.282,5.5945,35.435,26.503,24.00125,29.573500000000003,30.44723703256585,25.015,31.208
66.5,5.898,23.6,21.784,44.597750000000005,23.93725,47.109,13.470666666666666,12.62825,22.83175,13.693999999999999,15.489999999999998,8.592,47.476,27.733,23.8405,29.80725,31.2773784434647,26.62475,32.455
67.0,7.012,20.602,21.326,42.7845,22.8815,38.338,13.953,14.091,19.6885,13.8605,16.698,11.5895,59.517,28.963,23.67975,30.041,28.6605649174032,28.2345,33.702
68.0,6.774249999999999,17.604,20.868,40.97125,21.82575,29.567,14.160499999999999,13.084,16.54525,14.027,17.906,14.587,71.558,30.192999999999998,23.519,34.87775,26.0437513913417,29.844250000000002,34.949
69.0,6.5365,15.96825,20.41,39.158,20.77,20.796,14.367999999999999,12.077,13.402,14.595749999999999,17.176,16.719,59.70225000000001,31.423,25.991999999999997,39.7145,23.3905523006793,31.454,36.196
69.5,6.29875,14.3325,19.951999999999998,35.829750000000004,20.1655,17.9315,14.5755,11.07,13.303999999999998,15.1645,16.445999999999998,18.851,47.846500000000006,26.896749999999997,28.465,44.551249999999996,20.7373532100169,28.277250000000002,41.11125
70.0,6.061,12.69675,19.494,32.5015,19.561,15.067,14.783,10.063,13.206,15.73325,15.716000000000001,20.982999999999997,35.990750000000006,22.3705,30.938000000000002,49.388,18.289931467052998,25.1005,46.0265
71.0,11.3035,11.061,19.036,29.17325,18.9565,12.202499999999999,18.33175,11.833,13.108,16.302,14.986,23.115,24.135,17.844250000000002,33.411,45.77225,15.8425097240891,21.92375,50.94175
72.0,16.546,11.518625,18.578,25.845,18.352,9.338,21.8805,13.603000000000002,13.01,16.6725,18.95475,20.135749999999998,24.6185,13.318,35.84925,42.156499999999994,13.1527696412188,18.747,55.857
72.5,21.7885,11.97625,18.119999999999997,22.973499999999998,20.9345,21.36525,25.429250000000003,15.373000000000001,12.899750000000001,17.043,22.9235,17.1565,25.102,18.38375,38.2875,38.540749999999996,10.4630295583485,16.51175,50.304
73.0,27.031,12.433875,17.662,20.102,23.517,33.3925,28.978,17.143,12.7895,17.4135,26.89225,14.17725,25.5855,23.4495,40.725750000000005,34.925,11.0917173300955,14.276499999999999,44.751000000000005
74.0,27.93425,12.8915,17.204,17.2305,26.0995,45.41975,24.69975,19.15625,12.67925,17.784,30.861,11.198,26.069,28.51525,43.164,28.140499999999996,11.7204051018425,12.04125,39.198
75.0,28.8375,13.349125,16.746,14.359,28.682,57.447,20.4215,21.1695,12.569,16.775,29.64425,12.22875,26.63275,33.581,34.72825,21.355999999999998,13.433878756441551,9.806,33.645
75.5,29.74075,13.80675,16.288,15.04275,29.537,117.062,16.143250000000002,23.182750000000002,11.3025,15.765999999999998,28.427500000000002,13.2595,27.1965,339.28625000000005,26.2925,14.5715,15.1473524110406,10.710749999999999,27.77975
76.0,30.644,14.264375,15.83,15.726500000000001,30.391999999999996,176.677,11.865,25.196,10.036000000000001,14.757,27.21075,14.29025,27.76025,644.9915000000001,17.856749999999998,7.787,16.82752682957405,11.6155,21.9145
77.0,26.448999999999998,14.722,15.372,16.41025,31.246999999999996,236.29199999999997,13.60575,23.02675,8.7695,13.748,25.994,15.321,28.324,950.6967500000002,9.421,6.9795,18.5077012481075,12.52025,16.04925
78.0,22.253999999999998,13.8155,12.762,17.094,32.102,295.907,15.346499999999999,20.8575,7.503,12.831999999999999,22.191,17.25125,22.4845,1256.402,11.22425,6.172000000000001,19.75094735806115,13.425,10.184
78.5,18.059,12.908999999999999,10.152000000000001,17.4985,28.813,227.66125,17.087249999999997,18.68825,8.49525,11.916,18.387999999999998,19.1815,16.645000000000003,947.6755,13.0275,5.3645000000000005,20.9941934680148,14.414000000000001,10.7945
79.0,13.864,12.0025,7.542,17.903,25.524,159.41549999999998,18.828,16.519,9.4875,11.0,14.585,21.11175,10.805500000000002,638.9490000000001,14.83075,4.557,22.25614545150355,15.403,11.405
80.0,12.49775,11.096,4.932,18.3075,22.235,91.16974999999996,18.4625,15.850999999999999,10.47975,10.084,10.782,23.042,4.966,330.2225000000001,16.634,5.460750000000001,23.5180974349923,16.392,12.0155
81.0,11.131499999999999,10.379999999999999,4.85525,18.712,18.946,22.924,18.097,15.183,11.472,10.220625,8.89025,21.16825,6.19875,21.496,16.79975,6.3645000000000005,24.66157672002555,17.381,12.626
81.5,9.76525,9.664,4.7785,19.53475,18.83475,24.721,17.7315,14.514999999999999,14.25775,10.35725,6.9985,19.2945,7.4315,18.43,16.9655,7.26825,25.8050560050588,18.2735,14.19225
82.0,8.399,8.948,4.7017500000000005,20.3575,18.7235,26.518,17.366,13.847,17.043499999999998,10.493875,5.10675,17.42075,8.66425,15.363999999999999,17.13125,8.172,28.157662240443898,19.166,15.758499999999998
83.0,7.2395,8.232,4.625,21.18025,18.612250000000003,28.314999999999998,25.512999999999998,14.626,19.82925,10.6305,3.215,15.547,9.897,12.297999999999998,17.297,8.896,30.510268475829,20.058500000000002,17.324749999999998
84.0,6.08,7.769499999999999,6.856,22.003,18.501,30.112,33.66,15.405000000000001,22.615,10.767125,15.815249999999999,15.993,19.771,9.232,17.86225,9.620000000000001,29.61380892997165,20.951,18.891
84.5,4.9205,7.3069999999999995,9.087,19.932,18.187,26.15025,41.807,16.184,19.727,10.903749999999999,28.415499999999998,16.439,29.645000000000003,12.21375,18.427500000000002,10.344,28.7173493841143,19.5265,19.023999999999997
85.0,3.761,6.8445,11.318,17.861,17.873,22.188499999999998,49.954,16.963,16.839,11.040375,41.01575,16.884999999999998,39.519,15.1955,18.99275,11.068,29.1906128525429,18.102,19.156999999999996
86.0,4.038,6.382,13.549,15.79,17.559,18.22675,40.92475,17.10575,13.951,11.177,53.616,17.331,49.393,18.17725,19.558,11.1655,29.6638763209715,16.677500000000002,19.29
87.0,4.3149999999999995,6.629,14.73225,13.719,17.245,14.265,31.8955,17.2485,11.063,9.7605,50.16675,18.67125,46.22325,21.159,23.0685,11.263,29.62283443941585,15.253,19.423
87.5,4.592,6.8759999999999994,15.9155,13.358749999999999,16.490000000000002,15.089,22.866249999999997,17.39125,10.68275,8.344,46.7175,20.011499999999998,43.0535,20.10875,26.579,11.3605,29.5817925578602,15.8155,18.387249999999998
88.0,4.869,7.123,17.09875,12.9985,15.735,15.913,13.837,17.534,10.3025,6.9275,43.26825,21.35175,39.88375,19.0585,30.0895,11.458,29.3357915537699,16.378,17.351499999999998
89.0,5.345,7.37,18.282,12.63825,14.98,16.737000000000002,13.37525,17.351499999999998,9.92225,5.511,39.819,22.692,36.714,18.008249999999997,33.6,11.248000000000001,29.0897905496796,16.9405,16.315749999999998
